source_file,test_id,qid,type,cluster,tsne_x,tsne_y,clean_text
math-algebra1-2014.js,math_algebra1_2014,1,multiple-choice,10,-38.060863,24.366753,"Look at the graphed function shown. Based on the zeros, which best represents the graphed function?"
math-algebra1-2014.js,math_algebra1_2014,2,multiple-choice,9,13.053462,-28.82419,"Travis would like to buy some toys to donate to charity. He plans to buy 9 dolls at d dollars each, 2 toy cars at c dollars each, and 3 train sets at t dollars each. Which expression represents the total cost, in dollars, of these items that Travis wants to buy?"
math-algebra1-2014.js,math_algebra1_2014,3,multiple-choice,8,-24.373316,3.8420024,Which expression is equivalent to 18 c 8 d 9 9 c 3 d 6 ? Assume the denominator does not equal zero.
math-algebra1-2014.js,math_algebra1_2014,4,multiple-select,8,-22.456934,8.630722,Identify each expression that is a factor of this polynomial. 4 x 2 - 2 x - 2
math-algebra1-2014.js,math_algebra1_2014,5,multiple-choice,3,-13.058017,19.696516,Look at this key. Which model correctly represents the product of ( x + 3 ) and ( x + 4 ) ?
math-algebra1-2014.js,math_algebra1_2014,6,multiple-choice,8,-12.791526,9.111552,What is 18 written in simplest radical form?
math-algebra1-2014.js,math_algebra1_2014,7,multiple-choice,8,-19.848692,7.3655114,Which binomial is a factor of c 2 - 12 c + 32 ?
math-algebra1-2014.js,math_algebra1_2014,8,multiple-choice,4,-34.372036,2.6475973,What is the value of this expression when x = 2 3 ? x 2 + 3 x - 2
math-algebra1-2014.js,math_algebra1_2014,9,multiple-choice,8,-25.207504,7.9766183,Which expression is equivalent to ( 3 x -4 ) 2 ( 5 x -2 ) ?
math-algebra1-2014.js,math_algebra1_2014,10,multiple-choice,8,-27.650934,2.3131523,Which polynomial is equivalent to 18 n 2 - 9 n + 1 3 n - 1 ? Assume the divisor is not equal to zero.
math-algebra1-2014.js,math_algebra1_2014,11,free-response,4,-32.817303,1.6618928,What is the value of this expression when a = 64 and b = - 5 ? - 2 a 3 + b 2
math-algebra1-2014.js,math_algebra1_2014,12,multiple-choice,8,-16.783901,4.2844734,"When n > 0 , which expression is equivalent to 42 n 9 in simplest form?"
math-algebra1-2014.js,math_algebra1_2014,13,multiple-choice,7,-31.370825,12.761077,Look at the system of equations. y = - x + 2 7 x + 4 y = - 1 What is the value of x for the solution to this system of equations?
math-algebra1-2014.js,math_algebra1_2014,14,multiple-choice,6,-43.46106,5.494565,Pierre solved an inequality as shown. Step 1: - 8 ≥ n + 3 Step 2: - 8 + ( - 3 ) ≥ n + 3 + ( - 3 ) Step 3: - 11 ≥ n + 0 Step 4: - 11 ≥ n What property justifies the work between Step 3 and Step 4?
math-algebra1-2014.js,math_algebra1_2014,15,multiple-choice,8,-9.858426,21.232681,Which property of real numbers justifies the work shown? 13 x - 1 = ( 12 x + 15 ) + 7 x 13 x - 1 = 7 x + ( 12 x + 15 )
math-algebra1-2014.js,math_algebra1_2014,16,multiple-choice,7,-22.652628,21.127234,What is the slope of the line represented by 1 8 x + 3 y = 3 ?
