source_file,test_id,qid,type,cluster,tsne_x,tsne_y,clean_text
science-biology-2015.js,science_biology_2015,1.0,multiple-choice,11,7.509075,1.4984912,Red flower color is dominant to white flower color in rose plants. What is the expected result of a cross between two heterozygous rose plants?
science-biology-2015.js,science_biology_2015,2.0,drag-drop,11,8.52469,-10.803144,Place the phases of mitosis in the correct sequence.
science-biology-2015.js,science_biology_2015,3.0,multiple-choice,5,0.1717632,-12.470725,"To classify an organism a scientist finds in the field, which of these will the scientist first compare to other known organisms?"
science-biology-2015.js,science_biology_2015,4.0,multiple-choice,6,-2.943068,-5.9387736,"For the growth curve to continue increasing, which of these must occur?"
science-biology-2015.js,science_biology_2015,5.0,multiple-choice,9,8.095651,-5.0068164,What did Rosalind Franklin contribute to the understanding of DNA molecules?
science-biology-2015.js,science_biology_2015,6.0,drag-drop,5,5.9981737,-12.839393,Some functions of several structures of a fish are listed in the chart. Complete the chart by placing the structures of a cell next to the function they perform.
science-biology-2015.js,science_biology_2015,7.0,multiple-choice,9,5.5421004,-5.999411,Darwin's explanation for evolution was dependent on which scientific concept?
science-biology-2015.js,science_biology_2015,8.0,multiple-choice,7,1.4455763,-7.744766,Which best helps scientists determine the age of fossils?
science-biology-2015.js,science_biology_2015,9.0,multiple-choice,2,-1.8145643,-0.21902262,"A student is investigating the effect of plants on indoor air quality and states, ""If plants are added to an indoor environment, the air quality will improve."" This statement is an example of —"
science-biology-2015.js,science_biology_2015,10.0,multiple-choice,9,5.0558257,-6.2361603,"Although controversial at first, the germ theory of disease proposed that microorganisms were the cause of many diseases. Which of these was a result of the general acceptance that microorganisms cause disease?"
science-biology-2015.js,science_biology_2015,11.0,multiple-choice,2,0.4620453,-1.6473964,A biologist gathered data to show the interaction of the golden-cheeked warbler and juniper tree populations. Which conclusion did the biologist most likely make from the data shown?
science-biology-2015.js,science_biology_2015,12.0,multiple-choice,5,2.3284423,-9.51923,Studying the differences between fossils and modern organisms helps scientists better understand the —
science-biology-2015.js,science_biology_2015,13.0,multiple-choice,5,-0.25566256,-15.290256,"This chart shows observations made of an unknown organism. Based on this information, the organism most likely belongs to the kingdom —"
science-biology-2015.js,science_biology_2015,14.0,multiple-choice,2,1.3173648,0.22568919,What can be concluded from this graph?
science-biology-2015.js,science_biology_2015,15.0,multiple-choice,2,-0.3276494,-0.07159112,Which statement is an inference based on this information?
science-biology-2015.js,science_biology_2015,16.0,multiple-choice,9,9.970091,-4.4987054,The weakness of hydrogen bonds between the bases of DNA allows —
science-biology-2015.js,science_biology_2015,17.0,multiple-choice,5,0.23162127,-11.83466,Which of these would most likely result in a change to the current classification of an organism?
science-biology-2015.js,science_biology_2015,18.0,multiple-select,11,13.691627,-7.7346206,Select the autotrophs.
science-biology-2015.js,science_biology_2015,19.0,multiple-choice,5,4.514965,-11.344922,Five species of frogs that live in separate habitats within 5 non-overlapping ranges along the Mississippi River share a common ancestor. Which process is most likely responsible for the formation of these five distinct species?
science-biology-2015.js,science_biology_2015,20.0,multiple-choice,11,8.791713,4.3967915,Chloroplast process X + H₂O → Y + O₂ The diagram shown represents the input and output of a process performed by the chloroplast of a cell. Which substance is most likely represented by Y?
science-biology-2015.js,science_biology_2015,21.0,multiple-choice,2,-0.69422,0.026079338,Which statement best describes her hypothesis?
science-biology-2015.js,science_biology_2015,22.0,multiple-choice,5,-1.1903282,-3.6919832,Seaweeds occupy an important niche in the Chesapeake Bay ecosystem. Which question will best help a student identify the role of seaweeds in this ecosystem?
science-biology-2015.js,science_biology_2015,23.0,multiple-choice,9,8.352507,-5.238961,"In 1950, Erwin Chargaff discovered that the percentage of adenine in DNA equals the percentage of thymine, and that the percentage of cytosine equals the percentage of guanine. This proved invaluable to the eventual discovery of which aspect of DNA?"
science-biology-2015.js,science_biology_2015,24.0,multiple-choice,5,2.8519678,-11.279304,"The study of embryos and other early stages of development can help in the classification of living things, past and present, by providing clues about the —"
science-biology-2015.js,science_biology_2015,25.0,drag-drop,1,-3.8135052,4.4154754,Complete the sentences about water molecules by dragging the correct terms to each box.
science-biology-2015.js,science_biology_2015,26.0,multiple-choice,5,-2.517292,-13.04974,Which characteristic do most adult fungi and plants share?
science-biology-2015.js,science_biology_2015,27.0,multiple-choice,1,3.4916108,6.094768,"Students use a dissolved oxygen probe during a laboratory activity involving 1,000 mL samples of pond water. The function of the probe is to —"
science-biology-2015.js,science_biology_2015,28.0,free-response,3,6.876472,8.533669,"In a population of 120 oak trees, 25% of the population has oak wilt disease. What is the number of trees in this population that have oak wilt?"
science-biology-2015.js,science_biology_2015,29.0,multiple-choice,5,-0.17188355,-3.1329293,"An insect called the hemlock woolly adelgid was introduced to a Virginia forest ecosystem. This pest feeds on the nutrients stored inside a hemlock tree, resulting in the death of the tree. Which kind of data would best help a student evaluate the effect of this insect?"
science-biology-2015.js,science_biology_2015,30.0,multiple-choice,2,-0.05532564,7.558588,A student wanted to compare the transpiration rates of two different plant species at varying levels of humidity. The results are recorded in the table shown. Each plant group was given the same amount of water and light throughout the investigation. Which procedure should have been performed to prevent error in this investigation?
science-biology-2015.js,science_biology_2015,31.0,multiple-choice,5,-5.2176867,-7.272742,"In an ecosystem, a sudden decrease in the number of bacteria in the soil would most likely result in —"
science-biology-2015.js,science_biology_2015,32.0,multiple-choice,9,9.207832,-6.7082043,"Medicines are being produced using recombinant DNA technology. For veterinarians, the use of this DNA technology will result in —"
science-biology-2015.js,science_biology_2015,33.0,multiple-choice,11,11.614548,-1.1101935,The arrow in the diagram represents the movement of which molecular structure?
science-biology-2015.js,science_biology_2015,34.0,multiple-choice,5,-0.025588144,-14.9687,"According to the classification key, what is the genus and species of this organism?"
science-biology-2015.js,science_biology_2015,35.0,multiple-choice,5,4.523361,-15.889218,The jackrabbit is a desert mammal. The jackrabbit's circulatory system increases blood flow to the ears during hot days. The blood flow to the ears decreases during cool or cold nights. This circulation pattern is most directly related to —
science-biology-2015.js,science_biology_2015,36.0,multiple-choice,9,10.317603,-3.6883063,Proteins are among the most diverse group of macromolecules because of the —
science-biology-2015.js,science_biology_2015,37.0,multiple-choice,5,-3.106473,-8.9071045,Which is an activity that increases the genetic variation within a population of earthworms?
science-biology-2015.js,science_biology_2015,38.0,multiple-choice,5,5.015954,-12.199205,The structural differences between a tadpole and an adult frog are due to the —
science-biology-2015.js,science_biology_2015,39.0,multiple-choice,1,-2.0244238,7.3002167,"After 24 hours, the amount of gas that accumulated at the top of the inverted test tube is measured. The students conclude that the light source is causing the water to evaporate, causing water vapor to fill the top of the tube. The best alternative explanation of the differences between the setups is that the —"
science-biology-2015.js,science_biology_2015,40.0,drag-drop,2,1.8626662,2.4082153,This table was found in a journal of student research. What are the independent and dependent variables in this investigation?
science-biology-2015.js,science_biology_2015,41.0,multiple-choice,5,1.7556647,-12.920753,Scientists classifying modern animals are most likely to compare the —
science-biology-2015.js,science_biology_2015,42.0,multiple-choice,5,-2.791098,-11.294103,Which feature do viruses have in common with animal cells?
science-biology-2015.js,science_biology_2015,43.0,multiple-choice,11,8.397207,-11.709648,"According to this diagram, the result of spermatogenesis is four sperm cells, each with —"
science-biology-2015.js,science_biology_2015,44.0,multiple-choice,5,3.643756,-14.11167,A group of ponies lives in the Chincoteague National Wildlife Reserve in Virginia. The development of longer legs over time would be selected for if —
science-biology-2015.js,science_biology_2015,45.0,multiple-choice,11,7.532097,1.5553693,One parent is heterozygous for a certain trait (Dd). The other parent is homozygous dominant (DD) for that trait. What is the percent chance that an offspring from this cross will be heterozygous?
science-biology-2015.js,science_biology_2015,46.0,multiple-choice,2,3.4616928,2.8538942,Which trial in the table of data shown has questionable data?
science-chemistry-2015.js,science_chemistry_2015,,multiple-choice,2,4.5937486,9.600281,A student measures the mass of a 1.00 g aluminum rod as 0.99 g. The best estimate of the percent error associated with this measurement is —
science-chemistry-2015.js,science_chemistry_2015,,multiple-choice,1,9.787123,6.893489,The most efficient way to determine whether a reaction is an exothermic chemical reaction is to use —
science-chemistry-2015.js,science_chemistry_2015,,multiple-choice,12,12.950613,7.1229796,2Al(C₂H₃O₂)₃ + 3Ba(SO₄) → Al₂(SO₄)₃ + 3Ba(C₂H₃O₂)₂ Which type of chemical reaction does this equation represent?
science-chemistry-2015.js,science_chemistry_2015,,free-response,12,12.412447,4.308479,What is the oxidation number of an oxide ion?
science-chemistry-2015.js,science_chemistry_2015,,multiple-choice,3,8.413398,10.519719,What is the molarity of a solution with 0.2 moles of potassium permanganate (KMnO₄) dissolved in enough water to make a 500.0 mL solution?
science-chemistry-2015.js,science_chemistry_2015,,multiple-choice,3,7.2347713,14.238258,"When 92.0 g of ethanol (C₂H₅OH) are vaporized at its boiling point of 78.3°C, it requires 78.6 kJ of energy. What is the approximate molar heat of vaporization of ethanol in kJ/mol?"
science-chemistry-2015.js,science_chemistry_2015,,free-response,3,6.6216016,10.237546,What is the density (in g/mL) of an aqueous solution that has a mass of 10.081 g and 12.5 mL? Your answer must use significant digits.
science-chemistry-2015.js,science_chemistry_2015,,multiple-choice,4,14.482505,0.81983054,"Which element has 16 neutrons, 15 protons, and 15 electrons?"
science-chemistry-2015.js,science_chemistry_2015,,multiple-choice,12,12.910868,7.4033775,Al( s ) + 3AgNO₃( aq ) → Al(NO₃)₃( aq ) + 3Ag( s ) This equation represents which type of chemical reaction?
science-chemistry-2015.js,science_chemistry_2015,,multiple-choice,4,16.837471,5.0409665,"In the formula for barium chloride, (BaCl₂), barium (Ba) is written first because it is —"
science-chemistry-2015.js,science_chemistry_2015,,multiple-choice,1,-2.8327162,11.548006,Which of these laboratory techniques is best to separate a solid from a liquid to recover the liquid?
